id_oficina,nombre_oficina,direccion,departamento,ciudad,telefono,fecha_apertura
2678.0,Oficina Secundaria,Calle 123 #45-67,Atlántico,CALI,6097245693,2013/08/25
4102.0,Oficina de Ventas,Carrera 789 #12-34,Santander,BOGOTÁ,6078579278,2010/08/09
5352.0,Oficina Local,Carrera 789 #12-34,Santander,MEDELLÍN,6044128246,2010/11/23
8098.0,Oficina Central,Avenida 654 #87-09,Cundinamarca,Bogotá,6077388292,
990.0,Oficina Regional,Carrera 789 #12-34,Atlántico,Cali,6018548586,
2658.0,Sucursal Oeste,Carrera 789 #12-34,Atlántico,Bogotá,6046598066,
9605.0, Sucursal Este ,Calle 123 #45-67,Antioquia,Barranquilla,6043254546,2017/11/09
0.0,Oficina Local,Calle 321 #54-76,Atlántico,Medellín,6057241444,2018/08/27
,Oficina de Ventas,Carrera 789 #12-34,Antioquia,Medellín,6096061028,2014/12/01
7094.0,Sucursal Este,Avenida 654 #87-09,Valle del Cauca,MEDELLÍN,6023648383,2014/09/30
6274.0,Oficina Principal,Carrera 789 #12-34,Cundinamarca,BARRANQUILLA,6089713211,2015/06/18
707.0,Sucursal Este,avenida 456 #78-90,Atlántico,Barranquilla,6020593104,2018/09/26
1245.0,Sucursal Este,Calle 123 #45-67,Atlántico,Medellín,609153388,2019/05/15
1399.0,Oficina Local,Calle 123 #45-67,Atlántico,Barranquilla,6037376793,
533.0,Oficina Principal,Carrera 789 #12-34,Atlántico,Bucaramanga,6050349111,
3654.0,Oficina Local,Carrera 789 #12-34,Valle del Cauca,BUCARAMANGA,6020751668,2016/11/20
-1.0,Oficina Principal,Avenida 654 #87-09,Antioquia,Barranquilla,6038123265,2018/08/24
8125.0,Sucursal Este,Avenida 456 #78-90,Atlántico,Bucaramanga,6049250710,
2898.0,Oficina de Ventas,Avenida 456 #78-90,Atlántico,Cali,6090332978,
3532.0,Oficina Regional,Avenida 654 #87-09,Atlántico,Barranquilla,6012003540,
8372.0,Sucursal Norte,Calle 321 #54-76,Valle del Cauca,BUCARAMANGA,6067835394,2015/12/08
8987.0,Oficina Regional,calle 321 #54-76,Antioquia,Barranquilla,6040089950,2012/08/31
5828.0,Oficina Regional,Carrera 789 #12-34,Santander,Bogotá,6077929514,
4827.0,Sucursal Norte,Avenida 456 #78-90,Valle del Cauca,Bogotá,604484227,2014/12/11
303.0,Oficina Secundaria,Calle 123 #45-67,Santander,Bucaramanga,6075293348,
9590.0,Oficina de Ventas,Avenida 654 #87-09,Santander,Medellín,6037129965,
8452.0,Sucursal Oeste,Carrera 789 #12-34,Antioquia,Medellín,6064017157,
7015.0,Sucursal Oeste,Avenida 654 #87-09,Atlántico,Bogotá,6037671988,
4698.0,Sucursal Sur,Calle 321 #54-76,Atlántico,Barranquilla,6012388139,
1327.0, Sucursal Sur ,Carrera 789 #12-34,Valle del Cauca,Medellín,6096725137,2016/05/17
1660.0,Oficina Secundaria,Carrera 789 #12-34,Santander,Bucaramanga,601061890,2010/01/11
7450.0,Oficina Central,Avenida 654 #87-09,Atlántico,BUCARAMANGA,6045834404,2019/02/13
0.0,Oficina Principal,Carrera 789 #12-34,Valle del Cauca,Medellín,6087982183,2011/11/18
8314.0, Sucursal Norte ,Calle 321 #54-76,Atlántico,Barranquilla,6088463028,2012/04/06
1024.0,Oficina Secundaria,Avenida 654 #87-09,Cundinamarca,Medellín,6076194453,
1339.0, Oficina Secundaria ,Carrera 789 #12-34,Santander,Bucaramanga,6078624221,2017/03/29
,Oficina de Ventas,Avenida 456 #78-90,Cundinamarca,Bucaramanga,6061823719,2018/08/12
467.0,Oficina Secundaria,Avenida 654 #87-09,Atlántico,Barranquilla,602124448,2017/02/19
6440.0,Oficina Secundaria,Calle 123 #45-67,Santander,Barranquilla,6029487381,
2772.0, Oficina Regional ,Calle 123 #45-67,Antioquia,Barranquilla,6055811012,2016/05/17
5254.0, Sucursal Este ,Calle 123 #45-67,Cundinamarca,Barranquilla,6032895379,2019/10/24
5268.0, Sucursal Este ,Calle 123 #45-67,Antioquia,Bogotá,6076806167,2010/04/08
5071.0,Oficina de Ventas,Carrera 789 #12-34,Atlántico,Bogotá,6083560179,2019/02/10
7479.0,Sucursal Oeste,Carrera 789 #12-34,Antioquia,Cali,6086227267,2017/09/20
6791.0,Oficina Principal,Carrera 789 #12-34,Antioquia,Medellín,6077026709,
9014.0,Oficina Secundaria,Calle 321 #54-76,Antioquia,Cali,6066304504,
0.0,Sucursal Sur,Carrera 789 #12-34,Santander,Bucaramanga,6089781097,2012/01/06
7254.0,Sucursal Norte,Avenida 456 #78-90,Santander,Medellín,6087934616,
6990.0, Oficina Local ,Avenida 654 #87-09,Santander,Barranquilla,6080241036,2016/03/06
0.0,Oficina Principal,Avenida 654 #87-09,Atlántico,Medellín,6031086576,2011/01/23
5985.0,Sucursal Oeste,Avenida 456 #78-90,Cundinamarca,Bogotá,6097744129,
9654.0, Oficina Principal ,Calle 321 #54-76,Cundinamarca,Medellín,6096179256,2015/11/25
7208.0, Oficina Local ,Avenida 456 #78-90,Valle del Cauca,Bucaramanga,6026815300,2019/06/08
859.0,Oficina de Ventas,Carrera 789 #12-34,Valle del Cauca,CALI,6051909194,2011/06/08
9519.0,Oficina Principal,Avenida 654 #87-09,Atlántico,Medellín,603552333,2015/07/15
2151.0,Oficina Secundaria,Avenida 456 #78-90,Atlántico,BARRANQUILLA,6056243555,2010/02/26
5484.0,Oficina Regional,Calle 123 #45-67,Santander,Bucaramanga,6062441752,
7058.0,Sucursal Oeste,Avenida 456 #78-90,Cundinamarca,Barranquilla,6069474121,
4542.0,Sucursal Sur,Avenida 654 #87-09,Antioquia,Medellín,6075710935,
7045.0,Sucursal Sur,Calle 123 #45-67,Valle del Cauca,Barranquilla,6072107332,
5234.0,Oficina Principal,Avenida 456 #78-90,Antioquia,Medellín,6097281037,
8673.0,Oficina Local,Avenida 654 #87-09,Cundinamarca,Medellín,6020816225,
-1.0,Sucursal Oeste,Calle 123 #45-67,Atlántico,Bucaramanga,6073016456,2013/07/24
4430.0,Sucursal Norte,Carrera 789 #12-34,Antioquia,CALI,6073803814,2019/08/24
1593.0,Sucursal Sur,Calle 321 #54-76,Santander,BUCARAMANGA,6095810101,2013/11/08
6015.0,Oficina Regional,Calle 123 #45-67,Santander,Barranquilla,6078524332,
6327.0,Sucursal Sur,Calle 321 #54-76,Antioquia,Medellín,602460885,2017/01/12
1892.0,Oficina de Ventas,Calle 321 #54-76,Antioquia,Barranquilla,6038211803,
6859.0,Oficina Local,Avenida 456 #78-90,Santander,Bucaramanga,6019953387,
6219.0,Oficina Central,Calle 321 #54-76,Cundinamarca,BARRANQUILLA,6062744387,2016/09/25
,Sucursal Sur,Calle 321 #54-76,Antioquia,Bogotá,6031059907,2014/01/29
8447.0,Oficina Secundaria,Avenida 654 #87-09,Cundinamarca,Barranquilla,6027343239,
8135.0, Oficina Regional ,Avenida 654 #87-09,Antioquia,Medellín,6061826107,2010/11/28
1960.0,Oficina Regional,Calle 321 #54-76,Santander,Bucaramanga,6019351481,
4541.0,Sucursal Norte,Calle 123 #45-67,Atlántico,Medellín,6054534536,
4344.0,Oficina Central,Calle 123 #45-67,Valle del Cauca,Cali,6071191589,
7564.0,Oficina de Ventas,Carrera 789 #12-34,Antioquia,Barranquilla,6039634990,
1447.0,Oficina de Ventas,Avenida 456 #78-90,Antioquia,Bogotá,6075210834,
4303.0,Oficina Central,Avenida 456 #78-90,SANTANDER,Bogotá,6044142301,2017/09/28
8881.0, Sucursal Oeste ,Calle 123 #45-67,Cundinamarca,Cali,6046155821,2019/11/23
3790.0,Oficina de Ventas,Calle 321 #54-76,Atlántico,BUCARAMANGA,6084395531,2015/03/29
972.0,Sucursal Oeste,Carrera 789 #12-34,Santander,BOGOTÁ,6092611303,2017/03/11
