id_oficina,nombre_oficina,direccion,departamento,ciudad,telefono,fecha_apertura
2678.0,oficina secundaria,calle 123 #45-67,atlántico,cali,6097245693,2013-08-25
4102.0,oficina de ventas,carrera 789 #12-34,santander,bogotá,6078579278,2010-08-09
5352.0,oficina local,carrera 789 #12-34,santander,medellín,6044128246,2010-11-23
8098.0,oficina central,avenida 654 #87-09,cundinamarca,bogotá,6077388292,2026-01-01
990.0,oficina regional,carrera 789 #12-34,atlántico,cali,6018548586,2026-01-01
2658.0,sucursal oeste,carrera 789 #12-34,atlántico,bogotá,6046598066,2026-01-01
9605.0,sucursal este,calle 123 #45-67,antioquia,barranquilla,6043254546,2017-11-09
7094.0,sucursal este,avenida 654 #87-09,valle del cauca,medellín,6023648383,2014-09-30
6274.0,oficina principal,carrera 789 #12-34,cundinamarca,barranquilla,6089713211,2015-06-18
707.0,sucursal este,avenida 456 #78-90,atlántico,barranquilla,6020593104,2018-09-26
1245.0,sucursal este,calle 123 #45-67,atlántico,medellín,609153388,2019-05-15
1399.0,oficina local,calle 123 #45-67,atlántico,barranquilla,6037376793,2026-01-01
533.0,oficina principal,carrera 789 #12-34,atlántico,bucaramanga,6050349111,2026-01-01
3654.0,oficina local,carrera 789 #12-34,valle del cauca,bucaramanga,6020751668,2016-11-20
8125.0,sucursal este,avenida 456 #78-90,atlántico,bucaramanga,6049250710,2026-01-01
2898.0,oficina de ventas,avenida 456 #78-90,atlántico,cali,6090332978,2026-01-01
3532.0,oficina regional,avenida 654 #87-09,atlántico,barranquilla,6012003540,2026-01-01
8372.0,sucursal norte,calle 321 #54-76,valle del cauca,bucaramanga,6067835394,2015-12-08
8987.0,oficina regional,calle 321 #54-76,antioquia,barranquilla,6040089950,2012-08-31
5828.0,oficina regional,carrera 789 #12-34,santander,bogotá,6077929514,2026-01-01
4827.0,sucursal norte,avenida 456 #78-90,valle del cauca,bogotá,604484227,2014-12-11
303.0,oficina secundaria,calle 123 #45-67,santander,bucaramanga,6075293348,2026-01-01
9590.0,oficina de ventas,avenida 654 #87-09,santander,medellín,6037129965,2026-01-01
8452.0,sucursal oeste,carrera 789 #12-34,antioquia,medellín,6064017157,2026-01-01
7015.0,sucursal oeste,avenida 654 #87-09,atlántico,bogotá,6037671988,2026-01-01
4698.0,sucursal sur,calle 321 #54-76,atlántico,barranquilla,6012388139,2026-01-01
1327.0,sucursal sur,carrera 789 #12-34,valle del cauca,medellín,6096725137,2016-05-17
1660.0,oficina secundaria,carrera 789 #12-34,santander,bucaramanga,601061890,2010-01-11
7450.0,oficina central,avenida 654 #87-09,atlántico,bucaramanga,6045834404,2019-02-13
8314.0,sucursal norte,calle 321 #54-76,atlántico,barranquilla,6088463028,2012-04-06
1024.0,oficina secundaria,avenida 654 #87-09,cundinamarca,medellín,6076194453,2026-01-01
1339.0,oficina secundaria,carrera 789 #12-34,santander,bucaramanga,6078624221,2017-03-29
467.0,oficina secundaria,avenida 654 #87-09,atlántico,barranquilla,602124448,2017-02-19
6440.0,oficina secundaria,calle 123 #45-67,santander,barranquilla,6029487381,2026-01-01
2772.0,oficina regional,calle 123 #45-67,antioquia,barranquilla,6055811012,2016-05-17
5254.0,sucursal este,calle 123 #45-67,cundinamarca,barranquilla,6032895379,2019-10-24
5268.0,sucursal este,calle 123 #45-67,antioquia,bogotá,6076806167,2010-04-08
5071.0,oficina de ventas,carrera 789 #12-34,atlántico,bogotá,6083560179,2019-02-10
7479.0,sucursal oeste,carrera 789 #12-34,antioquia,cali,6086227267,2017-09-20
6791.0,oficina principal,carrera 789 #12-34,antioquia,medellín,6077026709,2026-01-01
9014.0,oficina secundaria,calle 321 #54-76,antioquia,cali,6066304504,2026-01-01
7254.0,sucursal norte,avenida 456 #78-90,santander,medellín,6087934616,2026-01-01
6990.0,oficina local,avenida 654 #87-09,santander,barranquilla,6080241036,2016-03-06
5985.0,sucursal oeste,avenida 456 #78-90,cundinamarca,bogotá,6097744129,2026-01-01
9654.0,oficina principal,calle 321 #54-76,cundinamarca,medellín,6096179256,2015-11-25
7208.0,oficina local,avenida 456 #78-90,valle del cauca,bucaramanga,6026815300,2019-06-08
859.0,oficina de ventas,carrera 789 #12-34,valle del cauca,cali,6051909194,2011-06-08
9519.0,oficina principal,avenida 654 #87-09,atlántico,medellín,603552333,2015-07-15
2151.0,oficina secundaria,avenida 456 #78-90,atlántico,barranquilla,6056243555,2010-02-26
5484.0,oficina regional,calle 123 #45-67,santander,bucaramanga,6062441752,2026-01-01
7058.0,sucursal oeste,avenida 456 #78-90,cundinamarca,barranquilla,6069474121,2026-01-01
4542.0,sucursal sur,avenida 654 #87-09,antioquia,medellín,6075710935,2026-01-01
7045.0,sucursal sur,calle 123 #45-67,valle del cauca,barranquilla,6072107332,2026-01-01
5234.0,oficina principal,avenida 456 #78-90,antioquia,medellín,6097281037,2026-01-01
8673.0,oficina local,avenida 654 #87-09,cundinamarca,medellín,6020816225,2026-01-01
4430.0,sucursal norte,carrera 789 #12-34,antioquia,cali,6073803814,2019-08-24
1593.0,sucursal sur,calle 321 #54-76,santander,bucaramanga,6095810101,2013-11-08
6015.0,oficina regional,calle 123 #45-67,santander,barranquilla,6078524332,2026-01-01
6327.0,sucursal sur,calle 321 #54-76,antioquia,medellín,602460885,2017-01-12
1892.0,oficina de ventas,calle 321 #54-76,antioquia,barranquilla,6038211803,2026-01-01
6859.0,oficina local,avenida 456 #78-90,santander,bucaramanga,6019953387,2026-01-01
6219.0,oficina central,calle 321 #54-76,cundinamarca,barranquilla,6062744387,2016-09-25
8447.0,oficina secundaria,avenida 654 #87-09,cundinamarca,barranquilla,6027343239,2026-01-01
8135.0,oficina regional,avenida 654 #87-09,antioquia,medellín,6061826107,2010-11-28
1960.0,oficina regional,calle 321 #54-76,santander,bucaramanga,6019351481,2026-01-01
4541.0,sucursal norte,calle 123 #45-67,atlántico,medellín,6054534536,2026-01-01
4344.0,oficina central,calle 123 #45-67,valle del cauca,cali,6071191589,2026-01-01
7564.0,oficina de ventas,carrera 789 #12-34,antioquia,barranquilla,6039634990,2026-01-01
1447.0,oficina de ventas,avenida 456 #78-90,antioquia,bogotá,6075210834,2026-01-01
4303.0,oficina central,avenida 456 #78-90,santander,bogotá,6044142301,2017-09-28
8881.0,sucursal oeste,calle 123 #45-67,cundinamarca,cali,6046155821,2019-11-23
3790.0,oficina de ventas,calle 321 #54-76,atlántico,bucaramanga,6084395531,2015-03-29
972.0,sucursal oeste,carrera 789 #12-34,santander,bogotá,6092611303,2017-03-11
8671.0,sucursal sur,calle 123 #45-67,santander,bogotá,6019092362,2019-12-12
6822.0,oficina de ventas,avenida 456 #78-90,valle del cauca,medellín,604559012,2017-09-17
9385.0,oficina de ventas,calle 321 #54-76,antioquia,cali,6092446029,2026-01-01
4299.0,oficina de ventas,avenida 456 #78-90,atlántico,bucaramanga,6017045358,2026-01-01
4259.0,oficina regional,calle 321 #54-76,santander,bucaramanga,6085710328,2010-07-17
2682.0,oficina central,carrera 789 #12-34,santander,bogotá,6069901402,2026-01-01
2532.0,oficina central,avenida 456 #78-90,atlántico,cali,6048175198,2014-05-18
4730.0,oficina principal,calle 123 #45-67,cundinamarca,bogotá,6041142965,2013-02-25
8752.0,sucursal sur,calle 123 #45-67,cundinamarca,medellín,6024863873,2026-01-01
4236.0,oficina local,avenida 456 #78-90,santander,medellín,6047102681,2011-12-26
6943.0,oficina de ventas,carrera 789 #12-34,antioquia,medellín,605957991,2013-11-04
1333.0,sucursal este,avenida 456 #78-90,valle del cauca,medellín,6024910422,2026-01-01
6746.0,oficina central,calle 321 #54-76,valle del cauca,cali,6016021196,2026-01-01
1112.0,sucursal norte,carrera 789 #12-34,santander,bogotá,6094651776,2026-01-01
